country,n_beers,avg_abv,max_abv_beer,max_abv_brewery,max_abv,best_beer,best_brewery,best_beer_score,popular_beer,popular_brewery,popularity,n_beers_IPA,avg_abv_IPA,max_abv_beer_IPA,max_abv_brewery_IPA,max_abv_IPA,best_beer_IPA,best_brewery_IPA,best_beer_score_IPA,popular_beer_IPA,popular_brewery_IPA,popularity_IPA,n_beers_Lager,avg_abv_Lager,max_abv_beer_Lager,max_abv_brewery_Lager,max_abv_Lager,best_beer_Lager,best_brewery_Lager,best_beer_score_Lager,popular_beer_Lager,popular_brewery_Lager,popularity_Lager,n_beers_Ale,avg_abv_Ale,max_abv_beer_Ale,max_abv_brewery_Ale,max_abv_Ale,best_beer_Ale,best_brewery_Ale,best_beer_score_Ale,popular_beer_Ale,popular_brewery_Ale,popularity_Ale,n_beers_Stout,avg_abv_Stout,max_abv_beer_Stout,max_abv_brewery_Stout,max_abv_Stout,best_beer_Stout,best_brewery_Stout,best_beer_score_Stout,popular_beer_Stout,popular_brewery_Stout,popularity_Stout,n_beers_Pilsner,avg_abv_Pilsner,max_abv_beer_Pilsner,max_abv_brewery_Pilsner,max_abv_Pilsner,best_beer_Pilsner,best_brewery_Pilsner,best_beer_score_Pilsner,popular_beer_Pilsner,popular_brewery_Pilsner,popularity_Pilsner,n_beers_Porter,avg_abv_Porter,max_abv_beer_Porter,max_abv_brewery_Porter,max_abv_Porter,best_beer_Porter,best_brewery_Porter,best_beer_score_Porter,popular_beer_Porter,popular_brewery_Porter,popularity_Porter,n_beers_Fruit,avg_abv_Fruit,max_abv_beer_Fruit,max_abv_brewery_Fruit,max_abv_Fruit,best_beer_Fruit,best_brewery_Fruit,best_beer_score_Fruit,popular_beer_Fruit,popular_brewery_Fruit,popularity_Fruit,n_beers_Roggenbier,avg_abv_Roggenbier,max_abv_beer_Roggenbier,max_abv_brewery_Roggenbier,max_abv_Roggenbier,best_beer_Roggenbier,best_brewery_Roggenbier,best_beer_score_Roggenbier,popular_beer_Roggenbier,popular_brewery_Roggenbier,popularity_Roggenbier,n_beers_Herb,avg_abv_Herb,max_abv_beer_Herb,max_abv_brewery_Herb,max_abv_Herb,best_beer_Herb,best_brewery_Herb,best_beer_score_Herb,popular_beer_Herb,popular_brewery_Herb,popularity_Herb,n_beers_Smoke,avg_abv_Smoke,max_abv_beer_Smoke,max_abv_brewery_Smoke,max_abv_Smoke,best_beer_Smoke,best_brewery_Smoke,best_beer_score_Smoke,popular_beer_Smoke,popular_brewery_Smoke,popularity_Smoke,n_beers_Barleywine,avg_abv_Barleywine,max_abv_beer_Barleywine,max_abv_brewery_Barleywine,max_abv_Barleywine,best_beer_Barleywine,best_brewery_Barleywine,best_beer_score_Barleywine,popular_beer_Barleywine,popular_brewery_Barleywine,popularity_Barleywine
VN,164.0,6.008231707317072,Mekong Monster,Pasteur Street Brewing Company,14.0,Jasmine IPA,Pasteur Street Brewing Company,3.8245454545454547,33 Export,VBL Tien Giang Limited (Fosters),280.0,27.0,6.696296296296295,Two Span,7 Bridges Brewing,9.2,Jasmine IPA,Pasteur Street Brewing Company,3.8245454545454547,Jasmine IPA,Pasteur Street Brewing Company,20.0,24.0,4.725,Vienna Lager W/ Vanilla & Clove,Pasteur Street Brewing Company,5.5,Dark Lager,"Louisiane Brewhouse, Nha Trang",2.886,Saigon Export,Saigon Beer Company,219.0,51.0,5.647058823529414,Tết 2018 - Hound,FURBREW,11.5,Dragon Fruit Gose,Pasteur Street Brewing Company,3.232,Dragon Fruit Gose,Pasteur Street Brewing Company,3.0,8.0,8.71875,Cyclo Imperial Chocolate Stout,Pasteur Street Brewing Company,13.0,Cyclo Imperial Chocolate Stout,Pasteur Street Brewing Company,3.802,Cyclo Imperial Chocolate Stout,Pasteur Street Brewing Company,23.0,4.0,4.875,Pilsner,Barett Craft Beer,5.0,Pilsener,"Louisiane Brewhouse, Nha Trang",3.0675,Pilsener,"Louisiane Brewhouse, Nha Trang",2.0,6.0,8.066666666666666,Mekong Monster,Pasteur Street Brewing Company,14.0,Vanilla Porter,Pasteur Street Brewing Company,3.5239999999999996,Coffee Porter,Pasteur Street Brewing Company,4.0,3.0,6.566666666666667,Pink Cloud,FURBREW,9.4,Passionfruit Wheat Ale,Pasteur Street Brewing Company,3.7793333333333337,Passionfruit Wheat Ale,Pasteur Street Brewing Company,28.0,2.0,6.9,New York Rye,7 Bridges Brewing,6.9,,,,,,,5.0,4.82,Devil's Milk,FURBREW,6.0,Green,Beerfest-vn,2.33,Green,Beerfest-vn,1.0,1.0,2.8,White Smoke,FURBREW,2.8,,,,,,,2.0,13.0,Foolish Destroyer Barleywine,Pasteur Street Brewing Company,13.5,Fruity Barley Wine,Pasteur Street Brewing Company,2.9499999999999997,Fruity Barley Wine,Pasteur Street Brewing Company,1.0
DO,9.0,4.444444444444445,Presidente Black,Cervecería Nacional Dominicana,6.0,Presidente Black,Cervecería Nacional Dominicana,3.036,Presidente,Cervecería Nacional Dominicana,800.0,,,,,,,,,,,,7.0,4.785714285714286,Ambar Cerveza Oscura,Cervecería Nacional Dominicana,5.3,Ambar Cerveza Oscura,Cervecería Nacional Dominicana,3.0100000000000002,Presidente,Cervecería Nacional Dominicana,800.0,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,Presidente Black,Cervecería Nacional Dominicana,6.0,Presidente Black,Cervecería Nacional Dominicana,3.036,Presidente Black,Cervecería Nacional Dominicana,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,80.0,5.664999999999998,Brujería Edición #3 - Rum Barrel Aged Barley Wine,Casa Bruja,10.0,Chivoperro IPA,Casa Bruja,3.7880769230769227,Panama,"Cerveceria Del Baru Panama, S.A.",71.0,11.0,6.827272727272727,Brujería Edición #4 - Imperial India Pale Ale,Casa Bruja,10.0,Chivoperro IPA,Casa Bruja,3.7880769230769227,Chivoperro IPA,Casa Bruja,24.0,19.0,4.473684210526315,Colon,Istmo Brew Pub,6.0,Balboa Ice,"Cervecería Nacional, S.A.",3.00625,Panama,"Cerveceria Del Baru Panama, S.A.",71.0,26.0,5.526923076923077,Edition #11: Gose Con Semilla De Cilantro,Casa Bruja,10.0,Sir Francis,Casa Bruja,3.7808333333333337,Sir Francis,Casa Bruja,10.0,4.0,6.85,Brujería Edición #2- Rum Barrel Aged Imperial Stout,Casa Bruja,9.0,Talingo Chocolate Milk Stout,Casa Bruja,3.6976923076923076,Talingo Chocolate Milk Stout,Casa Bruja,11.0,3.0,6.3999999999999995,Guerra Fría,"Cervecería Clandestina, S.A.",8.2,La Rana Premium Pilsner,Cerveceria La Rana Dorada,3.5555555555555554,La Rana Premium Pilsner,Cerveceria La Rana Dorada,7.0,2.0,5.4,Bocas Town,Cervecería Central,5.8,La Rana Porter,Cerveceria La Rana Dorada,3.6436363636363636,La Rana Porter,Cerveceria La Rana Dorada,9.0,4.0,4.175000000000001,Tropical Ale,Bocas Brewery,5.4,Soberana Radler,"Cerveceria Del Baru Panama, S.A.",3.07,Soberana Radler,"Cerveceria Del Baru Panama, S.A.",3.0,,,,,,,,,,,,1.0,5.0,Pumpkin Spice Ale,Bocas Brewery,5.0,,,,,,,,,,,,,,,,,,2.0,10.0,Brujería Edición #3 - Rum Barrel Aged Barley Wine,Casa Bruja,10.0,Brujería Edición #3 - Rum Barrel Aged Barley Wine,Casa Bruja,3.0199999999999996,Brujería Edición #3 - Rum Barrel Aged Barley Wine,Casa Bruja,1.0
EE,341.0,7.248328445747798,Danger Zone,Anderson's Craft Beer,22.0,Cellar Series: Öö XO,Põhjala Brewery,4.2327659574468095,Viru,A. Le Coq,157.0,60.0,7.004833333333334,Kolmekordne,Põhjala Brewery,13.0,Põhja Konn,Põhjala Brewery,3.6884615384615387,Virmalised,Põhjala Brewery,25.0,51.0,5.358823529411763,Presidendi 10,Saku Brewery LTD,10.0,Hallucination,Tanker,3.4,Viru,A. Le Coq,157.0,65.0,7.113846153846152,I Am What I Am,Lehe Pruulikoda,20.0,Laudatur XVI,Sori Brewing,4.035833333333333,Mets,Põhjala Brewery,22.0,45.0,10.337777777777779,Singularity Bourbon Barrel Aged,Lehe Pruulikoda,18.0,CocoBänger,Põhjala Brewery,4.220000000000001,Pime Öö,Põhjala Brewery,29.0,5.0,4.779999999999999,Talisman,Pühaste Brewery,5.2,Gold Pilsner,Beer House,2.77,Pils,A. Le Coq,7.0,33.0,8.466363636363639,Cellar Series: Sajand,Põhjala Brewery,12.3,Cellar Series: Öö XO,Põhjala Brewery,4.2327659574468095,Öö,Põhjala Brewery,78.0,7.0,5.4142857142857155,Pihtla Õlu,Taako Pihtla Õlu,7.6,Grønland Ice Cap Beer Ice Fjord Lager,Viru Õlu AS,3.1457142857142855,Grønland Ice Cap Beer Ice Fjord Lager,Viru Õlu AS,5.0,5.0,7.4399999999999995,Cellar Series: Rukkivein,Põhjala Brewery,12.9,Cellar Series: Rukkivein,Põhjala Brewery,3.9480000000000004,Rukkirääk,Põhjala Brewery,16.0,13.0,6.292307692307692,Cellar Series: Laugas,Põhjala Brewery,12.3,Cellar Series: Laugas,Põhjala Brewery,3.8862500000000004,Sauna Session,Tanker,6.0,3.0,8.9,Turbahunt,Õllenaut OÜ,11.2,Brikett,Õllenaut OÜ,3.668,Brikett,Õllenaut OÜ,3.0,9.0,13.355555555555554,Danger Zone,Anderson's Craft Beer,22.0,Cellar Series: Odravein - Bourbon Barrel-Aged,Põhjala Brewery,4.016666666666667,Cellar Series: Odravein - Bourbon Barrel-Aged,Põhjala Brewery,10.0
BY,95.0,4.7515789473684205,8/20,Krinitsa,8.0,Alivariya Porter,Alivaria Pivzavod,3.4066666666666663,Lidskaye Aksamitnoye,Lidskoye Pivo OAO,11.0,2.0,4.85,India Pale Ale IPA,Lidskoye Pivo OAO,5.2,Mosaic IPA,Krinitsa,2.9975,Mosaic IPA,Krinitsa,2.0,55.0,4.834545454545453,Rago Stiprusis Alus,Brestskoye Pivo,7.5,Lidskaye Aksamitnoye,Lidskoye Pivo OAO,3.3176923076923073,Lidskaye Aksamitnoye,Lidskoye Pivo OAO,11.0,6.0,5.016666666666667,Irlandsky Ale (Ирландский Эль),Varnitsa (Варница),6.5,APA,Krinitsa,2.985,APA,Krinitsa,2.0,1.0,5.5,Pivnaya Karta Stout,Krinitsa,5.5,Pivnaya Karta Stout,Krinitsa,2.9025,Pivnaya Karta Stout,Krinitsa,2.0,6.0,4.633333333333333,Stará Pivnice Světlé,Krinitsa,5.0,Nikolayevskoye Pilsner,Dvinskiy Brovar,2.8200000000000003,Lidskoe Pilsner,Lidskoye Pivo OAO,4.0,5.0,7.0,8/20,Krinitsa,8.0,Alivariya Porter,Alivaria Pivzavod,3.4066666666666663,Alivariya Porter,Alivaria Pivzavod,4.0,3.0,4.4,Framboise,Lidskoye Pivo OAO,4.6,Lidskoe Vecher V Brugge (Night In Brugge),Lidskoye Pivo OAO,2.631666666666667,Lidskoe Vecher V Brugge (Night In Brugge),Lidskoye Pivo OAO,4.0,,,,,,,,,,,,3.0,4.533333333333332,Lidskae Zimovae (Лiдскае Зiмовае),Lidskoye Pivo OAO,4.8,,,,,,,1.0,5.1,Jim Beer,Lidskoye Pivo OAO,5.1,,,,,,,,,,,,,,,,,
ZA,287.0,5.265853658536584,Crazy Diamond,Triggerfish Brewery,12.5,The King's Blockhouse IPA,Devils Peak Brewing Company,3.7492307692307696,Castle Lager,South African Breweries plc,154.0,38.0,6.373684210526315,The KRAKEN,Triggerfish Brewery,11.5,The King's Blockhouse IPA,Devils Peak Brewing Company,3.7492307692307696,Skeleton Coast IPA,Jack Black's Brewing Company,15.0,37.0,4.686486486486486,Kreechr,Weinhaus + Biergarten,6.5,Boston Lager,Boston Breweries,3.3190909090909098,Castle Lager,South African Breweries plc,154.0,101.0,5.229702970297032,Crazy Diamond,Triggerfish Brewery,12.5,First Light Golden Ale,Devils Peak Brewing Company,3.4785714285714286,Butcher's Block,Jack Black's Brewing Company,13.0,24.0,5.983333333333334,Change of Season Barrel Aged,Devils Peak Brewing Company,10.5,Bierwerk Aardwolf,Bierwerk Afrikan Ales Brewery,3.6488888888888886,Castle Milk Stout,South African Breweries plc,49.0,14.0,4.735714285714286,Diplomat Czech Pils,Citizen Beer,5.5,Pilsner,Cape Brewing Company,3.155,Hansa Pilsener,South African Breweries plc,26.0,8.0,5.875,Birkenhead Black Snake,Birkenhead Brewery,10.0,Pickled Pig Porter,The Nottingham Road Brewing Company,3.2039999999999997,Pickled Pig Porter,The Nottingham Road Brewing Company,3.0,6.0,4.45,Tamarind Beer,South African Breweries plc,5.5,The Stranded Coconut,Drifter Brewing Co.,3.0375,The Stranded Coconut,Drifter Brewing Co.,2.0,,,,,,,,,,,,2.0,4.1,Bonito Bombshell Buchu Blonde,Triggerfish Brewery,4.2,,,,,,,,,,,,,,,,,,1.0,10.0,StoneFish,Triggerfish Brewery,10.0,StoneFish,Triggerfish Brewery,2.9166666666666665,StoneFish,Triggerfish Brewery,1.0
TR,64.0,5.273437499999998,Tuborg Shot,Turk Tuborg Brewing and Malting,9.0,Gara Guzu Ipa 4C,Gara Guzu,3.3925,Efes Pilsener,Anadolu Efes Brewery,638.0,3.0,5.166666666666667,Gara Guzu Ipa 4C,Gara Guzu,6.0,Gara Guzu Ipa 4C,Gara Guzu,3.3925,Gara Guzu Ipa 4C,Gara Guzu,2.0,26.0,5.461538461538461,Tuborg Shot,Turk Tuborg Brewing and Malting,9.0,Pastorsuz,Anadolu Efes Brewery,3.194,Efes Pilsener,Anadolu Efes Brewery,638.0,7.0,4.742857142857143,Bomonti Red Ale,Anadolu Efes Brewery,5.3,Gara Guzu Amber Ale,Gara Guzu,3.372,Brewmaster Series - Red Ale,Anadolu Efes Brewery,5.0,1.0,4.5,Bomonti Black Stout,Anadolu Efes Brewery,4.5,Bomonti Black Stout,Anadolu Efes Brewery,2.972,Bomonti Black Stout,Anadolu Efes Brewery,3.0,6.0,4.75,Efes Pilsener Fici/Draft,Anadolu Efes Brewery,5.0,Ozel Harman Malt Bira,Anadolu Efes Brewery,2.9855555555555555,Efes Pilsener Fici/Draft,Anadolu Efes Brewery,41.0,1.0,6.4,Gara,Gara Guzu,6.4,Gara,Gara Guzu,3.136,Gara,Gara Guzu,3.0,2.0,5.0,Mariachi Black,Anadolu Efes Brewery,6.0,Efes Pilsen Limon Aromalı Fıçı,Anadolu Efes Brewery,2.693,Mariachi Black,Anadolu Efes Brewery,8.0,,,,,,,,,,,,4.0,5.475,Efes Dark Brown,Anadolu Efes Brewery,6.2,Gara Guzu Mayhos Saison,Gara Guzu,2.9,Efes Dark Brown,Anadolu Efes Brewery,17.0,,,,,,,,,,,,,,,,,,,,,,
KR,239.0,5.503640167364014,Mr.Black Coffee & Cinnamon Imperial Stout,MysterLee Brewing Co.,11.0,Mocha Stout,The Hand and Malt Brewing Company,3.649090909090909,Hite,Hite Brewery Company LTD,294.0,40.0,6.412500000000001,Mr.Green NE Style Double IPA,MysterLee Brewing Co.,8.1,Kukmin IPA,The Booth Brewing (더부스),3.522,Jirisan Moon Bear IPA,Craftworks Taphouse - Namsan,13.0,33.0,4.672727272727272,Budnamu India Pale Lager,Budnamu Brewery,6.1,OB Golden Lager,"Oriental Brewery Co., Ltd",2.9401492537313434,Hite,Hite Brewery Company LTD,294.0,85.0,5.027058823529412,Eoksepul (Silver Grass),Galmegi Brewing,8.5,Campfire Amber,Galmegi Brewing,3.3783333333333334,Pale Ale,Magpie Brewing Itaewon,8.0,28.0,6.371428571428572,Mr.Black Coffee & Cinnamon Imperial Stout,MysterLee Brewing Co.,11.0,Mocha Stout,The Hand and Malt Brewing Company,3.649090909090909,Hite Stout,Hite Brewery Company LTD,20.0,5.0,5.1,MR.YELLOW Portland Style Pilsner,MysterLee Brewing Co.,5.5,Namsan Pure Pilsner,Craftworks Taphouse - Namsan,3.0483333333333333,Kloud Original Gravity,Lotte Liquor,60.0,8.0,5.75,The Last Train,Magpie Brewing Itaewon,8.0,The Last Train,Magpie Brewing Itaewon,3.59,Porter,Magpie Brewing Itaewon,5.0,2.0,3.4,Raspberry Lemon Wheat,Magpie Brewing Itaewon,4.3,Mango Lingo,Hite Brewery Company LTD,2.6133333333333333,Mango Lingo,Hite Brewery Company LTD,1.0,4.0,7.050000000000001,Chaser In The Rye,The Booth Brewing (더부스),8.8,Red Devil RyePA,Galmegi Brewing,3.393333333333333,Red Devil RyePA,Galmegi Brewing,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,9.87,Winter Warmer,Magpie Brewing Itaewon,9.87,Winter Warmer,Magpie Brewing Itaewon,3.043333333333333,Winter Warmer,Magpie Brewing Itaewon,1.0
SG,115.0,5.30695652173913,Baron's Extra Strong,Asia Pacific Breweries Limited,11.8,Steam Beer,Brewerkz - Riverside Point,3.6199999999999997,Tiger Beer,Asia Pacific Breweries Limited,1082.0,14.0,5.4142857142857155,X IPA,Brewerkz - Riverside Point,7.0,X IPA,Brewerkz - Riverside Point,3.5038888888888895,India Pale Ale,Brewerkz - Riverside Point,19.0,17.0,5.035294117647059,Baron's Strong Brew,Asia Pacific Breweries Limited,8.8,Pump Room Lager,The Pump Room,2.8120000000000003,Tiger Beer,Asia Pacific Breweries Limited,1082.0,40.0,5.007500000000001,Black Pig,Brewerkz - Riverside Point,8.0,Black Pig,Brewerkz - Riverside Point,3.4533333333333336,India Pale Ale,Brewerkz - Riverside Point,19.0,9.0,6.077777777777778,ABC Extra Stout Ginseng,Asia Pacific Breweries Limited,8.0,Kiasu Stout,Barefoot Brewing Company (Jungle Beer),3.5,ABC Extra Stout,Asia Pacific Breweries Limited,36.0,8.0,4.550000000000001,Bohemian Lager,The Pump Room,5.5,Pilsner Lager,Brewerkz - Riverside Point,3.294285714285714,Anchor Pilsener,Asia Pacific Breweries Limited,20.0,2.0,5.8,Chocolate Porter,Brewerkz - Riverside Point,6.0,Chocolate Porter,Brewerkz - Riverside Point,2.716666666666667,Chocolate Porter,Brewerkz - Riverside Point,1.0,5.0,5.0600000000000005,Black Raspberry Ale,Brewerkz - Riverside Point,5.5,Tropical Wheat - Mango & Orange,Barefoot Brewing Company (Jungle Beer),3.4859999999999998,Lime Wheat,Red Dot Brewhouse,4.0,,,,,,,,,,,,2.0,5.0,Monster Green Lager,Red Dot Brewhouse,5.0,Archipelago Explorer,Archipelago Craft Beer Hub,3.29,Monster Green Lager,Red Dot Brewhouse,3.0,,,,,,,,,,,,,,,,,,,,,,
LB,27.0,5.026666666666666,961 Barleywine,961 Beer,11.2,961 Porter,961 Beer,3.5289655172413794,Almaza Pilsner Beer,Brasserie Almaza S.A.L.,303.0,2.0,6.1,961 American IPA,961 Beer,6.2,961 American IPA,961 Beer,3.0383333333333336,961 American IPA,961 Beer,4.0,4.0,5.675,Buzz Beer,Kassatly Chtaura,9.0,961 Lager,961 Beer,3.083249999999999,961 Lager,961 Beer,38.0,4.0,5.775,961 Black IPA,961 Beer,6.6,961 Red Ale,961 Beer,3.3560975609756096,961 Red Ale,961 Beer,39.0,3.0,6.833333333333333,961 Lebanese Imperial Stout,961 Beer,8.0,961 Lebanese Imperial Stout,961 Beer,3.1275,961 Stout,961 Beer,8.0,5.0,4.6,Byblos Pilsener,Brasserie Almaza S.A.L.,5.0,Lager Beer,Colonel Brewpub & Restaurant,3.3449999999999998,Almaza Pilsner Beer,Brasserie Almaza S.A.L.,303.0,1.0,5.6,961 Porter,961 Beer,5.6,961 Porter,961 Beer,3.5289655172413794,961 Porter,961 Beer,56.0,1.0,2.0,Radler,Brasserie Almaza S.A.L.,2.0,Radler,Brasserie Almaza S.A.L.,2.66,Radler,Brasserie Almaza S.A.L.,1.0,,,,,,,,,,,,1.0,6.32,961 Lebanese Pale Ale,961 Beer,6.32,961 Lebanese Pale Ale,961 Beer,3.414019607843138,961 Lebanese Pale Ale,961 Beer,100.0,,,,,,,,,,,,1.0,11.2,961 Barleywine,961 Beer,11.2,,,,,,
FO,20.0,6.339999999999999,Nykur,Okkara,13.5,RInkusteinur,Okkara,3.404285714285714,Pilsnar/Veðrur (Ram),Föroya Bjór,6.0,,,,,,,,,,,,6.0,6.1000000000000005,1888 Golden Ram,Föroya Bjór,10.0,Black Sheep,Föroya Bjór,2.9259999999999997,Slupp Ol,Föroya Bjór,5.0,3.0,6.566666666666666,Risi,Okkara,8.1,RInkusteinur,Okkara,3.404285714285714,RInkusteinur,Okkara,5.0,2.0,9.65,Nykur,Okkara,13.5,Green Island Stout,Föroya Bjór,3.0,Green Island Stout,Föroya Bjór,3.0,7.0,5.357142857142857,Tróndur,Okkara,7.5,1888,Föroya Bjór,3.23,Pilsnar/Veðrur (Ram),Föroya Bjór,6.0,1.0,7.9,Portar,Okkara,7.9,Portar,Okkara,3.245,Portar,Okkara,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI,104.0,5.490865384615384,Vizir Nori Franc Strong Ale,Pivovarna in Vinska klet Vizir,10.0,Grim Reaper IPA,Reservoir Dogs Brewery,3.7600000000000002,Laško Club,Pivovarna Laško,107.0,18.0,6.75,Vizir Nori Franc Strong Ale,Pivovarna in Vinska klet Vizir,10.0,Grim Reaper IPA,Reservoir Dogs Brewery,3.7600000000000002,The 3rd Pill,Pivovarna Pelicon,15.0,27.0,4.903703703703705,Union Triglav,Pivovarna Union,9.0,Temno Lasko,Pivovarna Laško,3.4461538461538463,Laško Club,Pivovarna Laško,107.0,21.0,5.276190476190475,Starvation,Reservoir Dogs Brewery,8.0,Out Of China,Pivovarna Pelicon,3.74,Out Of China,Pivovarna Pelicon,6.0,7.0,6.028571428571429,Russian Imperial Stout,Human Fish Brewery,8.2,Russian Imperial Stout,Human Fish Brewery,3.3725,Stout,Pivovarna Pelicon,5.0,6.0,4.866666666666666,Ležak,Pivovarna Union,6.0,Zlatorog,Pivovarna Laško,3.0709708737864077,Zlatorog,Pivovarna Laško,101.0,5.0,6.359999999999999,Kratochwill Temno Pivo,Pivovarna Kratochwill,7.9,Kratochwill Temno Pivo,Pivovarna Kratochwill,3.0,Carniola Winter Giant,Carniola Brewery,3.0,6.0,3.0,Kostanko Kostanjevo Pivo,Pivovarna in Vinska klet Vizir,4.5,Kostanko Kostanjevo Pivo,Pivovarna in Vinska klet Vizir,2.9066666666666667,Union Radler Grapefruit,Pivovarna Union,14.0,1.0,6.25,Oudaspace,22brewing,6.25,,,,,,,3.0,5.833333333333333,Vizir Meggy Medeno Pivo,Pivovarna in Vinska klet Vizir,7.0,Hyhemp,Pivovarna Laško,2.3333333333333335,Vizir Meggy Medeno Pivo,Pivovarna in Vinska klet Vizir,1.0,1.0,5.0,Vizir Matevž Smoked Ale,Pivovarna in Vinska klet Vizir,5.0,Vizir Matevž Smoked Ale,Pivovarna in Vinska klet Vizir,2.723333333333333,Vizir Matevž Smoked Ale,Pivovarna in Vinska klet Vizir,1.0,,,,,,,,,,,
GE,72.0,4.879166666666666,Aia 11%,Aia,11.0,Porter,Kazbegi-Castel Lilo Brewery,3.464444444444444,Natakhtari Beer,Natakhtari Brewery,12.0,,,,,,,,,,,,58.0,5.006896551724139,Aia 11%,Aia,11.0,Kazbegi Hunter Lager,Kazbegi JSC,3.185,Natakhtari Beer,Natakhtari Brewery,12.0,,,,,,,,,,,,,,,,,,,,,,,3.0,4.633333333333334,Herrenhäuser,Natakhtari Brewery,4.9,,,,,,,2.0,5.4,Porter,Kazbegi JSC,5.8,Porter,Kazbegi-Castel Lilo Brewery,3.464444444444444,Porter,Kazbegi-Castel Lilo Brewery,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VE,16.0,4.8375,Trovibrau Weizenbock,Cervecería Trovi,7.0,Polar Negra,Cervecería Polar,3.165,Polar Pilsen,Cervecería Polar,143.0,,,,,,,,,,,,6.0,4.583333333333333,Solera,Cervecería Polar,6.0,Polar Negra,Cervecería Polar,3.165,Polar Pilsen,Cervecería Polar,143.0,2.0,5.0,Trovibrau Trovi Ale,Cervecería Trovi,5.0,Trovibrau Trovi Ale,Cervecería Trovi,2.8666666666666667,Trovibrau Trovi Ale,Cervecería Trovi,1.0,,,,,,,,,,,,5.0,4.779999999999999,Tovar,"Cervecería Tovar, C.A.",5.0,Tovar,"Cervecería Tovar, C.A.",2.9699999999999998,Zulia,Cervecería Regional,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LU,60.0,5.536666666666667,Victori-A Luxembourg Barrel Aged Imperial Stout,Den Heischter,8.7,Okult No1 Blanche,Brasserie Simon,3.58,Bofferding Lager Pils,Brasserie Bofferding,55.0,3.0,5.966666666666666,Tropical Disease IPA,Nowhere Brewing,6.4,Simon IPA,Brasserie Simon,3.0,Simon IPA,Brasserie Simon,1.0,19.0,5.247368421052632,Diekirch Grande Réserve,Brasserie de Luxembourg Mousel -Diekirch SA,6.9,Battin Gambrinus,Brasserie Battin,3.379545454545455,Diekirch Premium,Brasserie de Luxembourg Mousel -Diekirch SA,42.0,12.0,5.866666666666667,Battin Extra,Brasserie Battin,6.6,Fresh Start,Many Lands Brewing,3.186,Battin Extra,Brasserie Battin,13.0,2.0,7.449999999999999,Victori-A Luxembourg Barrel Aged Imperial Stout,Den Heischter,8.7,Okult Stout,Brasserie Artisanale de Redange,3.154,Okult Stout,Brasserie Artisanale de Redange,3.0,6.0,4.8,Simon Pils,Brasserie Simon,4.8,Simon Pils,Brasserie Simon,3.265625,Bofferding Lager Pils,Brasserie Bofferding,55.0,1.0,5.9,Doña Darkness,Nowhere Brewing,5.9,Doña Darkness,Nowhere Brewing,3.0300000000000002,Doña Darkness,Nowhere Brewing,2.0,2.0,4.3,Battin Fruitée,Brasserie Battin,4.3,Fruitee,Brasserie Bofferding,2.932,Battin Fruitée,Brasserie Battin,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF,4.0,5.875,Blaka,Brasserie Jeune Gueule,8.0,Jeune Gueule Weiti,Brasserie Jeune Gueule,3.147333333333333,Jeune Gueule Weiti,Brasserie Jeune Gueule,13.0,,,,,,,,,,,,,,,,,,,,,,,2.0,5.25,Jeune Gueule Orpailleuse,Brasserie Jeune Gueule,6.0,,,,,,,1.0,8.0,Blaka,Brasserie Jeune Gueule,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
